"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,60
"2",2,1,169,2,60
"3",3,1,257,2,60
"4",4,1,344,2,60
"5",5,1,432,2,60
"6",6,1,520,2,60
"7",7,81,602,2,60
"8",8,83,4.5,2,60
"9",9,86.7,17.1,2,60
"10",10,89.7142857142857,3.5,2,60
"11",11,92.7692307692308,16.4615384615385,2,60
"12",12,95.6666666666667,3.5,2,60
"13",13,97,16,2,60
"14",14,97,21,2,60
"15",15,101.6875,3.625,2,60
"16",16,101.7,17.1,2,60
"17",17,106,3.5,2,60
"18",18,107.5,15.8823529411765,1.97058823529412,60
"19",19,107.2,20.8,2,60
"20",20,112.692307692308,3.38461538461538,2.15384615384615,60
"21",21,112,16,2,60
"22",22,112,21,2,60
"23",23,119.686440677966,17.5677966101695,1.99152542372881,60
"24",24,117,3.5,2,60
"25",25,122,3.04545454545455,2,60
"26",26,128.75,3.375,2,60
"27",27,169,602,2,60
"28",28,257,602,2,60
"29",29,345,602,2,60
"30",30,432,602,2,60
"31",31,437.0375,67.0375,2.3875,60
"32",32,474.095595126523,60.0534208059981,2.47047797563261,60
"33",33,491.038461538462,74.9615384615385,1.78846153846154,60
"34",34,520,602,2,60
"35",35,608,602,2,60
